period,start,end_exclusive,hours,starting_equity,ending_equity,net_pnl,net_return,buy_hold_return,max_drawdown_within_period,halted_hourly_marks
2022-05,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.2238539025634514,0.0,0
2022-06,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.4074657671512868,0.0,0
2022-07,2022-07-01T00:00:00Z,2022-08-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,0.3378096243162829,0.0,0
2022-08,2022-08-01T00:00:00Z,2022-09-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.10666466528041163,0.0,0
2022-09,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.09007340969779765,0.0,0
2022-10,2022-10-01T00:00:00Z,2022-11-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,0.1174557357956334,0.0,0
2022-11,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.1698513688501201,0.0,0
2022-12,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.056476685368157864,0.0,0
2023-01,2023-01-01T00:00:00Z,2023-02-01T00:00:00Z,744,1000.0,995.1506525320948,-4.849347467905204,-0.004849347467905218,0.36169470486047084,0.006867713639149842,0
2023-02,2023-02-01T00:00:00Z,2023-03-01T00:00:00Z,672,995.1506525320948,999.3076751625824,4.157022630487631,0.004177279711278237,0.006467830741859304,0.010549164480862738,0
2023-03,2023-03-01T00:00:00Z,2023-03-24T00:00:00Z,552,999.3076751625824,1008.5519031626899,9.244228000107455,0.009250632442709295,0.1773289296548004,0.009487747723732176,0
