period,start,end_exclusive,hours,starting_equity,ending_equity,net_pnl,net_return,buy_hold_return,max_drawdown_within_period,halted_hourly_marks
2022-05,2022-05-01T00:00:00Z,2022-06-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.2263336048329424,0.0,0
2022-06,2022-06-01T00:00:00Z,2022-07-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.4074657671512867,0.0,0
2022-07,2022-07-01T00:00:00Z,2022-08-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,0.3378096243162829,0.0,0
2022-08,2022-08-01T00:00:00Z,2022-09-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.10666466528041163,0.0,0
2022-09,2022-09-01T00:00:00Z,2022-10-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.09007340969779765,0.0,0
2022-10,2022-10-01T00:00:00Z,2022-11-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,0.11745573579563318,0.0,0
2022-11,2022-11-01T00:00:00Z,2022-12-01T00:00:00Z,720,1000.0,1000.0,0.0,0.0,-0.16985136885011998,0.0,0
2022-12,2022-12-01T00:00:00Z,2023-01-01T00:00:00Z,744,1000.0,1000.0,0.0,0.0,-0.056476685368157864,0.0,0
2023-01,2023-01-01T00:00:00Z,2023-02-01T00:00:00Z,744,1000.0,994.9350128513911,-5.064987148608907,-0.005064987148608924,0.36169470486047084,0.00616149771738439,0
2023-02,2023-02-01T00:00:00Z,2023-03-01T00:00:00Z,672,994.9350128513911,1000.4055656362905,5.4705527848993825,0.005498402120980073,0.006467830741859082,0.00965488677903481,0
2023-03,2023-03-01T00:00:00Z,2023-03-24T00:00:00Z,552,1000.4055656362905,1010.1766766085649,9.771110972274414,0.009767149751970461,0.1773289296548004,0.008437050749319441,0
