pair,opened_at,quantity,entry,stop,entry_fee,initial_risk,closed_at,exit,exit_fee,pnl,r_multiple,reason
ETH/USDT,1674259200,0.0359,1660.520236,1599.5239448785878,0.11922535294480001,2.492607700008068,1674486000,1597.6045161447335,0.11470800425919186,-2.492607700008063,-0.999999999999998,intrabar_stop
ETH/USDT,1675022400,0.0378,1655.844632,1598.23981733775,0.1251818541792,2.4958219444011944,1675072800,1596.3219295569447,0.12068193787450503,-2.4958219444011966,-1.0000000000000009,intrabar_stop
BTC/USDT,1674259200,0.00288,22693.199200000003,21941.383945238387,0.13071282739200005,2.498000896698941,1675108800,22757.518168000002,0.13108330464768003,-0.07655750419968119,-0.03064750869419239,channel_exit
ETH/USDT,1675310400,0.0353,1673.1353560000002,1611.2616808534717,0.11812335613360002,2.4841357021856645,1675627200,1609.3281668364475,0.11361856857865318,-2.4841357021856667,-1.0000000000000009,intrabar_stop
BTC/USDT,1676462400,0.00396,22471.213136000002,21960.66538268265,0.17797200803712002,2.477817948739384,1676851200,24243.382987999998,0.19200759326495997,6.647813012617899,2.6829303645976266,channel_exit
ETH/USDT,1676462400,0.0418,1574.1467120000002,1522.950738179479,0.13159866512320004,2.475147479141823,1677081600,1611.7835360000001,0.1347451036096,1.306875474467183,0.5279990325749396,channel_exit
ETH/USDT,1678665600,0.0308,1582.226396,1509.3027562350783,0.09746514599360001,2.49215856274798,1678896000,1632.069164,0.1005354605024,1.3371566479039982,0.5365455745438531,channel_exit
ETH/USDT,1679097600,0.0256,1791.407112,1701.7019434546287,0.09172004413440002,2.5274712295363018,1679356800,1730.690676,0.0886113626112,-1.734672168345606,-0.6863271668828668,channel_exit
BTC/USDT,1678665600,0.00246,22024.44766,21119.91429685302,0.10836028248720002,2.4996436291995923,1679515200,26636.79744,0.13105304340479998,11.10696713290798,4.443420255256358,channel_exit
ETH/USDT,1679587200,0.0269,1839.1943880000001,1754.7044885113817,0.09894865807440001,2.5226586329675165,1679616000,1811.613452,0.09746480371760001,-0.938340640191997,-0.37196496899312326,end_of_test
